vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,"Bîn-á-chài kôaⁿ-liû ē lâi, chhēng khah chē saⁿ.","Bîn7-á1-chài kôaⁿ7-liû ē3 lâi, chhēng3 khah2 chē3 saⁿ.","明仔載寒流會來, 穿較濟衫.",A cold front is coming tomorrow; wear more clothes.
2,Góa àm-sî khiâ kha-ta̍h-chhia khì kong-hn̂g.,Góa1 àm2-sî khiâ7 kha7-ta̍h3-chhia khì2 kong7-hn̂g.,我暗時騎跤踏車去公園.,I rode a bicycle to the park at night.
3,Hit tâi kha-ta̍h-chhia chin súi.,Hit2 tâi7 kha7-ta̍h3-chhia chin7 súi.,彼台跤踏車真媠.,That bicycle is very nice-looking.
4,Ta̍k-ji̍t chò ūn-tōng tùi seng-khu hó.,Ta̍k3-ji̍t chò2 ūn3-tōng tùi2 seng7-khu hó.,逐日做運動對身軀好.,Daily exercise is good for the body.
5,Lé-pài-ji̍t sī hiu-hân ê sî-kan.,Lé1-pài2-ji̍t sī3 hiu7-hân7 ê7 sî7-kan.,禮拜日是休閒的時間.,Sunday is leisure time.
6,Ha̍k-hāu kin-á-ji̍t ū chin-chē oa̍h-tāng.,Ha̍k3-hāu kin7-á1-ji̍t ū3 chin7-chē3 oa̍h3-tāng.,學校今仔日有真濟活動.,The school has many activities today.
7,Sió-tī ē-hiáu phah nâ-kîu.,Sió1-tī ē3-hiáu1 phah2 nâ7-kîu.,小弟會曉拍籃球.,My little brother knows how to play basketball.
8,I-seng kā góa kóng ài chia̍h io̍h-á.,I7-seng kā3 góa1 kóng1 ài2 chia̍h3 io̍h-á.,醫生共我講愛食藥仔.,The doctor told me I have to take medicine.
9,Lāu-su hoan-hù ha̍k-seng tio̍h-ài jīn-chin tha̍k-chheh.,Lāu3-su hoan7-hù ha̍k3-seng tio̍h3-ài2 jīn3-chin tha̍k3-chheh.,老師吩咐學生著愛認真讀冊.,The teacher instructed the students to study hard.
10,Goán pa-pah ē-po· tiāⁿ-tiāⁿ khì sàn-pō·.,Goán1 pa7-pah ē-po· tiāⁿ3-tiāⁿ khì2 sàn2-pō·.,阮爸爸下晡定定去散步.,My father often goes for a walk in the afternoon.
11,I sin bé chi̍t tâi kong-lō·-chhia.,I7 sin7 bé1 chi̍t3 tâi7 kong7-lō·3-chhia.,伊新買一台公路車.,He recently bought a road bike.
12,Goán chhia-iú lóng chin gâu khiâ.,Goán1 chhia7-iú lóng1 chin7 gâu7 khiâ.,阮車友攏真𠢕騎.,Our cycling buddies all ride very well.
13,Lán chái-khí peh-tiám tī kong-hn̂g chi̍p-ha̍p.,Lán1 chái1-khí peh2-tiám tī3 kong7-hn̂g chi̍p3-ha̍p.,咱早起八點佇公園集合.,Let's gather at the park at 8 in the morning.
14,Hiah-ê lâng-kheh chē iû-lám-chhia khì A-lí-san.,Hiah2-ê7 lâng7-kheh chē3 iû7-lám1-chhia khì2 A7-lí1-san.,遐的人客坐遊覽車去阿里山.,Those tourists are taking a tour bus to Alishan.
15,Hit ê kì-liām kong-hn̂g ū chin-chē hoe.,Hit2 ê7 kì2-liām kong7-hn̂g ū3 chin7-chē3 hoe.,彼个紀念公園有真濟花.,That memorial park has many flowers.
16,I chhēng hit niá saⁿ chin súi.,I7 chhēng3 hit2 niá1 saⁿ chin7 súi.,伊穿彼領衫真媠.,She looks beautiful in that dress.
17,Hō· liam-mi ē thêng.,Hō· liam7-mi ē3 thêng.,雨連鞭會停.,The rain will stop right away.
18,"I siau-sit a, lóng bô khòaⁿ-tio̍h.","I7 siau7-sit a3, lóng1 bô7 khòaⁿ2-tio̍h.","伊消失矣, 攏無看著.",He has vanished; no one has seen him.
19,Goán chhia-tūi ū jī-cha̍p ê lâng.,Goán1 chhia7-tūi ū3 jī3-cha̍p3 ê7 lâng.,阮車隊有二十个人.,Our cycling team has 20 people.
20,Lú-hêng ē-tàng khòaⁿ-tio̍h chin-chē sin ê só·-chāi.,Lú1-hêng ē3-tàng2 khòaⁿ2-tio̍h3 chin7-chē3 sin7 ê7 só·1-chāi.,旅行會當看著真濟新的所在.,Travel lets you see many new places.
21,Hêng-chhun pòaⁿ-tó ū chin súi ê hái.,Hêng7-chhun pòaⁿ2-tó ū3 chin7 súi1 ê7 hái.,恆春半島有真媠的海.,The Hengchun Peninsula has a beautiful sea.
22,Goán pa-pah teh-boeh khiâ kha-ta̍h-chhia khoân-tó.,Goán1 pa7-pah teh2-boeh2 khiâ7 kha7-ta̍h3-chhia khoân7-tó.,阮爸爸咧欲騎跤踏車環島.,My father is about to bike around the island.
23,Phêⁿ-ô· ê hái chin chheng.,Phêⁿ7-ô· ê7 hái chin7 chheng.,澎湖的海真清.,The seas of Penghu are very clear.
24,Kim-mn̂g lī Tâi-oân chin hn̄g.,Kim7-mn̂g lī3 Tâi7-oân chin7 hn̄g.,金門離台灣真遠.,Kinmen is very far from Taiwan.
25,Hêng-chhun ê thiⁿ-khì chin sio-joa̍h.,Hêng7-chhun ê7 thiⁿ7-khì chin7 sio7-joa̍h.,恆春的天氣真燒熱.,The weather in Hengchun is very warm.
26,Hō· lo̍h kah góa tâm-kô·.,Hō· lo̍h3 kah2 góa1 tâm7-kô·.,雨落甲我澹糊.,The rain made me drenched.
27,I tī sim-koaⁿ-té siūⁿ chin-chē tāi-chì.,I7 tī3 sim7-koaⁿ7-té siūⁿ3 chin7-chē3 tāi3-chì.,伊佇心肝底想真濟代誌.,He thinks about many things deep in his heart.
28,Goán thoân-thé ta̍k lé-pài chi̍p-ha̍p chi̍t pái.,Goán1 thoân7-thé ta̍k3 lé1-pài chi̍p3-ha̍p chi̍t3 pái.,阮團體逐禮拜集合一擺.,Our group meets once a week.
29,Soaⁿ-téng ê kéng-tì chin súi.,Soaⁿ7-téng ê7 kéng1-tì chin7 súi.,山頂的景緻真媠.,The scenery on the mountaintop is beautiful.
30,Chit ê kong-hn̂g sī boeh kì-liām hit chân sū-kiāⁿ.,Chit2 ê7 kong7-hn̂g sī3 boeh2 kì2-liām hit2 chân7 sū3-kiāⁿ.,這个公園是欲紀念彼層事件.,This park commemorates that incident.
31,Khó-chhì ê chêng chi̍t-mê góa chin kín-tiuⁿ.,Khó1-chhì2 ê7 chêng chi̍t3-mê góa1 chin7 kín1-tiuⁿ.,考試的前一暝我真緊張.,I was very nervous the night before the exam.
32,Bó·-tan-siā tī Pîn-tang.,Bó·1-tan7-siā tī3 Pîn7-tang.,牡丹社佇屏東.,Botan is in Pingtung.
33,Pîn-tang ê chái-khí thiⁿ-khì chin hó.,Pîn7-tang ê7 chái1-khí thiⁿ7-khì chin7 hó.,屏東的早起天氣真好.,Pingtung's morning weather is great.
34,Chò-sit-lâng tī kang-liâu hioh-khùn.,Chò2-sit2-lâng tī3 kang7-liâu hioh2-khùn.,做穡人佇工寮歇睏.,The farmer rests at the work shed.
35,Pîⁿ-tē khiâ kha-ta̍h-chhia khah khin-sang.,Pîⁿ7-tē khiâ7 kha7-ta̍h3-chhia khah2 khin7-sang.,平地騎跤踏車較輕鬆.,It's easier to bike on flat ground.
36,Soaⁿ-tē ê thiⁿ-khì pìⁿ-hòa chin kín.,Soaⁿ7-tē ê7 thiⁿ7-khì pìⁿ2-hòa chin7 kín.,山地的天氣變化真緊.,Weather in mountain areas changes very fast.
37,Cha-mê góa khùn bô hó.,Cha7-mê góa1 khùn3 bô7 hó.,昨暝我睏無好.,I didn't sleep well last night.
38,"Goán peh chiūⁿ-soaⁿ, lóng chhoán-chhoán.","Goán1 peh2 chiūⁿ3-soaⁿ, lóng1 chhoán1-chhoán.","阮爬上山, 攏喘喘.",We climbed the mountain and were all out of breath.
39,Joa̍h-thiⁿ chò ūn-tōng chin gâu lâu-kōaⁿ.,Joa̍h3-thiⁿ chò2 ūn3-tōng chin7 gâu7 lâu7-kōaⁿ.,熱天做運動真𠢕流汗.,Exercising in summer makes you sweat a lot.
40,"Sî-kan teh-boeh kàu, koáⁿ-kín lâi.","Sî7-kan teh2-boeh2 kàu, koáⁿ1-kín lâi.","時間咧欲到, 趕緊來.","Time is almost up, hurry up."
41,Hit ê oē-bīn chin súi.,Hit2 ê7 oē3-bīn chin7 súi.,彼个畫面真媠.,That scene is very beautiful.
42,Hit kù ōe góa kì tī sim-koaⁿ-thâu.,Hit2 kù ōe góa1 kì2 tī3 sim7-koaⁿ7-thâu.,彼句話我記佇心肝頭.,I keep those words in my heart.
43,Lú-hêng ê lō·-tô· chin hn̄g.,Lú1-hêng ê7 lō·3-tô· chin7 hn̄g.,旅行的路途真遠.,The travel route is very long.
44,Hit chân sū-kiāⁿ tī Pîn-tang hoat-seng.,Hit2 chân7 sū3-kiāⁿ tī3 Pîn7-tang hoat2-seng.,彼層事件佇屏東發生.,That incident happened in Pingtung.
45,Tha̍k-chheh sī chin tiōng-iàu ê tāi-chì.,Tha̍k3-chheh sī3 chin7 tiōng3-iàu ê7 tāi3-chì.,讀冊是真重要的代誌.,Studying is a very important matter.
46,"Bóe-chhiú i koh sī lâi a.","Bóe1-chhiú i7 koh2 sī3 lâi a3.",尾手伊閣是來矣.,In the end he came after all.
47,"Saⁿ tâm a, ài ōaⁿ.","Saⁿ tâm a3, ài2 ōaⁿ.","衫澹矣, 愛換.",The clothes are wet; need to change.
48,"Ke-kiám chia̍h, mài kheh-khì.","Ke7-kiám chia̍h, mài2 kheh2-khì.","加減食, 莫客氣.","Eat a little, don't be polite."
49,Goán thiah-khui kha-ta̍h-chhia kā i hē tī chhia-tē.,Goán1 thiah2-khui kha7-ta̍h3-chhia kā3 i7 hē3 tī3 chhia7-tē.,阮拆開跤踏車共伊下佇車袋.,We took the bicycle apart and put it in the bike bag.
50,Kong-lō·-téng ū chin-chē chhia.,Kong7-lō·-téng ū3 chin7-chē3 chhia.,公路頂有真濟車.,There are many cars on the highway.
51,Soaⁿ-téng ê hong chin tōa.,Soaⁿ7-téng ê7 hong chin7 tōa.,山頂的風真大.,The wind on the mountaintop is very strong.
52,Hō· kā goán ak liáu liáu.,Hō· kā3 goán1 ak liáu1-liáu.,雨共阮沃了了.,The rain soaked us thoroughly.
53,Goán nn̄g ê sī hó hiaⁿ-tī.,Goán1 nn̄g3 ê7 sī3 hó1 hiaⁿ7-tī.,阮兩个是好兄弟.,We two are good brothers.
54,Goán ta̍k-ji̍t lóng ū chia̍h chá-tǹg.,Goán1 ta̍k3-ji̍t lóng1 ū3 chia̍h3 chá1-tǹg.,阮逐日攏有食早頓.,We eat breakfast every day.
