number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,án-chóaⁿ/chóaⁿ-iūⁿ,án1-chóaⁿ/chóaⁿ1-iūⁿ,按怎/按呢,怎樣/怎麼,how / what / why / what happened,
2,bān,bān,萬,萬,ten thousand / 10000,
3,bîn-á-chài/hân-á-chài,bîn7-á1-chài/hân7-á1-chài,明仔載,明天,tomorrow,
4,bô ì-sù,bô7 ì2-sù,無意思,沒意思,no meaning / meaningless / senseless / ridiculous; nonsense,
5,būn-tê,būn3-tê,問題,問題,problem / question / exam question,"Measure: ê for ""problem/question""; tiâu for ""exam question""."
6,chai/chai-iáⁿ,chai/chai7-iáⁿ,知/知影,知道,to know (a fact) / know about,"Negative: m̄-chai / m̄-chai-iáⁿ — can also mean ""to wonder""."
7,chheng,chheng,千,千,thousand,
8,chiah-ê,chiah2-ê,這些,這些,these,"Unlike ""chit"", ""chiah-ê"" is never followed by the measure of the noun modified."
9,choán,choán,轉,轉,to change (e.g. tone),
10,ē,ē,會,會/將,will / shall (sign of future tense),Negative: bē 袂.
11,hā-khò,hā3-khò,下課,下課,to finish class (end of period),
12,ha̍k-hāu,ha̍k3-hāu,學校,學校,school,"Measure: keng (as building) or ê (as organization). In practice the distinction is often lost."
13,hiah-ê,hiah2-ê,彼些,那些,those,Never followed by the measure of the noun modified.
14,hoat-im,hoat2-im,發音,發音,pronounce / pronunciation,
15,ho̍k-si̍p,ho̍k3-si̍p,復習,復習,review one's lessons,
16,hun,hun,分,分,minute (of time),Used both for time on the clock and in Time How Long expressions.
17,hun-cheng,hun7-cheng,分鐘,分鐘,minute (of time),"Used only in Time How Long expressions; less common than ""hun""."
18,hún-pit,hún1-pit,粉筆,粉筆,chalk,Measure: ki.
19,ì-sù,ì2-sù,意思,意思,meaning / idea,Measure: ê.
20,ia̍h/phiⁿ,ia̍h/phiⁿ,頁,頁,page (of a book),
21,ìn,ìn,應,回答,to answer,
22,iōng + Verb + ê,iōng3 + Verb + ê,用+動詞+的,用+動詞+的,by means of (Verb),"Construction emphasizes the verb. Tone on ""ê"" follows the 1-3-7 rule."
23,kàu-sek/kàu-sit,kàu2-sek/kàu2-sit,教室,教室,classroom,Measure: keng.
24,khai-sí,khai7-sí,開始,開始,begin / beginning,
25,khò,khò,課,課,lesson,
26,khòng,khòng,空,零,zero / cipher,"Used to express ""zero"" between two numerals, including in time on the clock."
27,kiâⁿ,kiâⁿ,行,走/行,to walk,"Later used of machinery/vehicles/watches to mean ""run""."
28,koh,koh,閣,再/又,again / also; and (connective for verbs and modifiers); another / more / a further step,"In connecting modifiers, ""and"" is not expressed by ""kah/kap""."
29,kù,kù,句,句,a word of 2 or more characters / phrase / sentence,"Also the measure for ""ōe"" (words)"
30,kùi,kùi,貴,貴,expensive,Opposite of siok (No. 38).
31,Lán lâi + Verb,Lán1 lâi7 + Verb,咱來+動詞,我們來+動詞,Let's...,Similar to Ls 5 Voc. 19 (Lán lâi-khì).
32,m̄-bián,m̄3-bián,毋免,不用/不必,there's no need / it's not necessary,
33,mn̄g,mn̄g,問,問,to ask (a question); to greet,
34,o·-pang,o·7-pang,烏枋,黑板,blackboard,Measure: tè.
35,pah,pah,百,百,hundred,
36,pái/kái/piàn,pái/kái/piàn,擺/改/遍,次/遍,turn / time / occasion,
37,siaⁿ,siaⁿ,聲,聲,tone / sound / noise / voice,"Measure: ê. ""Tone"" refers to the 7 Taiwanese tones."
38,sio̍k,sio̍k,俗,便宜,cheap,Opposite of kùi
39,siōng-khò,siōng3-khò,上課,上課,to have class / to be in class,
40,tē,tē,第,第,prefix for ordinal numbers / prefix to a number in a series and to kúi.
41,tiám,tiám,點,點,dot / spot / speck / point / drop / small amount / o'clock,
42,tiám-cheng,tiám1-cheng,點鐘,鐘點/小時,hour(s) / class period,Used only in Time How Long expressions.
43,tòe,tòe,綴,跟,to follow / follow after; imitate,
44,tùi,tùi,對,從/對,from / to / as to / with regard to; (with verb of motion) to pass through / pass by,
45,ūi,ūi,位,位,measure word for persons,"Used in place of ""ê"" to show special respect."
